Dialogue Name,Node Guid ID,Text Guid ID,English,Chinese,Spanish,French
Dialogue Container SO - Example01,f96f7467-00b2-4591-9fbd-f298a6975d32,5259b3e5-6d26-4d8f-a1ac-6d527bb74d74,"Not that we know of. But the lab data might have clues. We need someone to go into the research facility and retrieve those records","据我们所知，没有。不过实验室的数据可能有线索。我们需要有人进入研究设施，取回那些记录。","No que sepamos. Pero los datos del laboratorio podrían tener pistas. Necesitamos que alguien entre en la instalación de investigación y recupere esos registros.","Pas que nous sachions. Mais les données du laboratoire pourraient contenir des indices. Nous avons besoin de quelqu'un pour aller dans l'installation de recherche et récupérer ces dossiers."
Dialogue Container SO - Example01,724ff35b-bce2-4bfc-8ec0-0ea2a57a2ba9,b24abad3-f1d0-4ed0-9ab9-24de86f514a3,"Command underestimated the threat. We all did. Now we’re paying the price. But regrets won’t help us now—action will","指挥部低估了威胁。我们所有人都低估了。现在我们在为此付出代价。但后悔无济于事——行动才能改变局面。","El mando subestimó la amenaza. Todos lo hicimos. Ahora estamos pagando el precio. Pero el arrepentimiento no nos ayudará ahora, la acción sí.","Le Commandement a sous-estimé la menace. Nous l'avons tous fait. Maintenant, nous payons le prix. Mais les regrets ne nous aideront pas - l'action, oui."
Dialogue Container SO - Example01,11efc365-1ab7-4426-8498-c84578539412,708c8bdd-aba4-451e-b15c-8487c3980459,"Good. There’s a unit pinned down near the old hangar. Get them back here—they’re our only hope for reinforcing the east perimeter","很好。有一个小队被困在旧机库附近。把他们带回来——他们是我们加强东部防线的唯一希望。","Bien. Hay una unidad atrapada cerca del viejo hangar. Tráelos de vuelta aquí, son nuestra única esperanza de reforzar el perímetro este.","Bien. Il y a une unité coincée près de l'ancien hangar. Ramenez-les ici - ils sont notre seul espoir de renforcer le périmètre est."
Dialogue Container SO - Example01,9c190703-00d7-43d8-bfea-879288942a86,bb66b9a5-5950-417d-988c-78abd0b82386,"The drops are scattered across three sectors—Sector A, B, and C. Each one contains crucial supplies. Get there, secure them, and hold until our backup arrives","补给分散在三个区域——A区、B区和C区。每个区域都有重要物资。去那里，确保它们的安全，并坚持到我们的增援到达。","Los suministros están dispersos en tres sectores: Sector A, B y C. Cada uno contiene suministros cruciales. Ve allí, asegúralos y mantente hasta que llegue nuestro respaldo.","Les largages sont répartis sur trois secteurs - Secteur A, B et C. Chacun contient des fournitures cruciales. Rendez-vous là-bas, sécurisez-les, et tenez bon jusqu'à ce que nos renforts arrivent."
Dialogue Container SO - Example01,91e699b4-9aeb-4acf-b445-47130e07bd12,39cb0a6a-3e9f-4b7b-b61b-e73b17c1ea8f,"Those people are as good as dead without you. They’re in the medical bay, but you’ll need to clear a path through the maintenance tunnels to get to them","没有你那些人就死定了。他们在医疗区，但你需要通过维护隧道为他们开辟一条道路。","Esas personas están tan buenas como muertas sin ti. Están en la bahía médica, pero tendrás que despejar un camino a través de los túneles de mantenimiento para llegar a ellos.","Ces gens sont comme morts sans vous. Ils sont dans l'infirmerie, mais vous devrez dégager un chemin à travers les tunnels de maintenance pour les atteindre."
Dialogue Container SO - Example01,e0caaab2-0d0a-439f-948e-3a8a0c5312e0,580a18bb-f1cc-483a-932b-94084edd9b7b,"Trooper! ","士兵！","¡Soldado!","Soldat ! "
Dialogue Container SO - Example01,e0caaab2-0d0a-439f-948e-3a8a0c5312e0,c788b87d-b53c-469b-80df-c856fcedf62e,"You made it just in time","你来得正是时候。","Llegaste justo a tiempo. ","Vous arrivez juste à temps."
Dialogue Container SO - Example01,b02411ed-29f8-4b8a-862b-12176fb6db81,c41cda58-e79b-4936-8930-eb6ff42393ee,"The situation here is hanging by a thread","这里的情况岌岌可危。","La situación aquí está colgando de un hilo.","La situation ici est sur le point de s'effondrer."
Dialogue Container SO - Example01,309d3731-a3a8-4b30-9311-4ea4dc432769,a23c8bba-57e1-42db-8a3c-312dee24b71f,"If we can regroup the scattered squads and secure the supply drops, we might just survive the next few hours.","如果我们能重新集结分散的小队并确保补给投放，我们或许能熬过接下来的几个小时。","Si logramos reagrupar a los escuadrones dispersos y asegurar las entregas de suministros, podríamos sobrevivir las próximas horas.","Si nous pouvons regrouper les équipes dispersées et sécuriser les largages de fournitures, nous pourrions survivre aux prochaines heures."
Dialogue Container SO - Example01,b21dd2ce-7860-4e5a-a7d4-7eab504179e8,52e1c9fe-d5f6-41c9-ad93-8241c86222a8,"By the time we responded, the infection had already spread to our frontline troopers. Some kind of bio-weapon, engineered to reanimate the dead.","当我们作出反应时，感染已经蔓延到前线的士兵。一种生化武器，被设计用来让死者复生。","Cuando respondimos, la infección ya se había propagado a nuestros soldados en la línea del frente. Algún tipo de arma biológica, diseñada para reanimar a los muertos.","Quand nous avons réagi, l'infection s'était déjà propagée à nos troupes de première ligne. Une sorte d'arme biologique, conçue pour réanimer les morts."
Dialogue Container SO - Example01,ab7140c1-4c16-42e8-a394-0f4bf2661414,fcb5a58c-4e27-459c-b276-b572d29715a5,"You’ve got options, trooper. We need someone to push through the west barricade and get the shield generator online—that will buy us time. We also have reports of survivors trapped in the medical bay. Your call. Which mission do you want","你有选择，士兵。我们需要有人突破西侧的路障并启动护盾发生器——那样可以为我们争取时间。我们还收到报告说有幸存者被困在医疗区。你来决定，你想执行哪个任务？","Tienes opciones, soldado. Necesitamos a alguien que atraviese la barricada oeste y ponga en funcionamiento el generador de escudos; eso nos dará tiempo. También tenemos informes de sobrevivientes atrapados en la bahía médica. Tú decides. ¿Qué misión quieres?","Vous avez le choix, soldat. Nous avons besoin de quelqu'un pour franchir la barricade ouest et remettre en ligne le générateur de bouclier - cela nous fera gagner du temps. Nous avons également des rapports de survivants piégés dans l'infirmerie. À vous de choisir. Quelle mission voulez-vous ?"
